raceSpace,titleSpace,candidateSpace,iteration,raceIndex,raceLength,column,yPos,votedOn
5,20,15,9,18,1,3,10,2
5,20,15,9,19,4,3,50,-1
5,20,15,9,20,3,3,135,5
5,20,15,9,21,3,3,205,8
5,20,15,9,22,3,3,275,11
5,20,15,9,23,2,3,345,14
5,20,15,9,24,3,3,400,19
5,20,15,9,25,1,3,470,-1
5,20,15,9,26,1,3,510,22
5,20,15,10,0,2,1,10,0
5,20,15,10,1,3,1,65,3
5,20,15,10,2,1,1,135,6
5,20,15,10,3,1,1,175,9
5,20,15,10,4,1,1,215,-1
5,20,15,10,5,1,1,255,10
5,20,15,10,6,2,1,295,13
5,20,15,10,7,2,1,350,16
5,20,15,10,8,4,1,405,-1
5,20,15,10,9,4,1,490,19
5,20,15,10,10,1,2,10,1
5,20,15,10,11,1,2,50,4
5,20,15,10,12,3,2,90,-1
5,20,15,10,13,2,2,160,7
5,20,15,10,14,4,2,215,11
5,20,15,10,15,4,2,300,14
5,20,15,10,16,3,2,385,17
5,20,15,10,17,2,2,455,-1
5,20,15,10,18,4,2,510,20
5,20,15,10,19,3,3,10,2
5,20,15,10,20,3,3,80,5
5,20,15,10,21,4,3,150,8
5,20,15,10,22,4,3,235,12
5,20,15,10,23,3,3,320,15
5,20,15,10,24,2,3,390,18
5,20,15,10,25,2,3,445,-1
5,20,15,10,26,2,3,500,21
5,20,15,11,0,1,1,10,0
5,20,15,11,1,1,1,50,3
5,20,15,11,2,3,1,90,-1
5,20,15,11,3,1,1,160,6
5,20,15,11,4,3,1,200,8
5,20,15,11,5,1,1,270,11
5,20,15,11,6,3,1,310,-1
5,20,15,11,7,1,1,380,14
5,20,15,11,8,4,1,420,17
5,20,15,11,9,1,1,505,20
5,20,15,11,10,3,2,10,1
5,20,15,11,11,1,2,80,4
5,20,15,11,12,4,2,120,7
5,20,15,11,13,4,2,205,9
5,20,15,11,14,1,2,290,12
5,20,15,11,15,2,2,330,-1
5,20,15,11,16,2,2,385,15
5,20,15,11,17,4,2,440,18
5,20,15,11,18,1,2,525,21
5,20,15,11,19,3,3,10,2
5,20,15,11,20,4,3,80,5
5,20,15,11,21,1,3,165,-1
5,20,15,11,22,2,3,205,10
5,20,15,11,23,2,3,260,-1
5,20,15,11,24,2,3,315,13
5,20,15,11,25,4,3,370,16
5,20,15,11,26,1,3,455,19
5,20,15,11,27,4,3,495,22
5,20,15,12,0,3,1,10,0
5,20,15,12,1,2,1,80,3
5,20,15,12,2,3,1,135,6
5,20,15,12,3,3,1,205,9
5,20,15,12,4,3,1,275,-1
5,20,15,12,5,2,1,345,12
5,20,15,12,6,1,1,400,-1
5,20,15,12,7,4,1,440,15
5,20,15,12,8,1,1,525,18
5,20,15,12,9,2,2,10,1
5,20,15,12,10,4,2,65,4
5,20,15,12,11,3,2,150,7
